Region,Pop,Rock,Hiphop,Country,Blues
Missouri,4%,26%,6%,60%,4%
Kansas,8%,61%,9%,15%,7%
New Jersey,52%,11%,19%,7%,11%
West Virginia,7%,21%,18%,44%,10%
South Dakota,10%,19%,20%,43%,8%
Wyoming,9%,20%,19%,45%,7%
North Dakota,9%,22%,18%,42%,9%
Montana,10%,25%,17%,43%,5%
Vermont,11%,24%,17%,42%,6%
Kentucky,9%,20%,21%,37%,13%
Arkansas,7%,17%,21%,35%,20%
Iowa,10%,19%,21%,39%,11%
Maryland,9%,14%,30%,11%,36%
Oklahoma,9%,20%,23%,34%,14%
Tennessee,9%,17%,21%,35%,18%
Maine,12%,24%,18%,40%,6%
New Mexico,11%,21%,23%,33%,12%
Washington,13%,37%,20%,18%,12%
Nebraska,11%,21%,21%,37%,10%
Georgia,8%,12%,29%,20%,31%
Idaho,14%,22%,22%,37%,5%
Mississippi,7%,12%,25%,29%,27%
North Carolina,8%,14%,28%,25%,25%
District of Columbia,11%,16%,29%,16%,28%
Delaware,10%,14%,29%,15%,32%
Indiana,10%,20%,22%,31%,17%
Alabama,8%,16%,23%,28%,25%
Louisiana,8%,16%,24%,25%,27%
South Carolina,9%,16%,26%,25%,24%
Ohio,9%,16%,26%,29%,20%
Wisconsin,11%,21%,24%,28%,16%
Florida,13%,19%,28%,19%,21%
Pennsylvania,9%,19%,29%,21%,22%
Rhode Island,14%,19%,31%,15%,21%
New Hampshire,14%,25%,23%,31%,7%
Connecticut,12%,17%,31%,16%,24%
Texas,11%,18%,25%,27%,19%
New York,12%,22%,31%,13%,22%
Nevada,13%,21%,28%,17%,21%
Michigan,10%,17%,26%,25%,22%
Hawaii,12%,17%,26%,24%,21%
Minnesota,12%,20%,24%,29%,15%
Alaska,11%,26%,22%,27%,14%
Virginia,12%,16%,29%,16%,27%
Illinois,11%,21%,27%,21%,20%
California,15%,23%,30%,15%,17%
Utah,16%,23%,23%,29%,9%
Arizona,13%,21%,26%,24%,16%
Colorado,12%,22%,25%,26%,15%
Massachusetts,15%,20%,29%,17%,19%
Oregon,17%,25%,25%,23%,10%